src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes
Storage,Home Organization,Folding Screens + Room Dividers,0,,Home,Organization,-,
Storage,Home Organization,Freestanding Shelving + Storage,0,,Home,Furniture,Storage,
Storage,Home Organization,Hanging Racks + Hooks,0,,Home,Organization,-,
Storage,Home Organization,Office Organization + Storage,0,,Home,Organization,-,
Storage,Home Organization,Step Stools,0,,Home,Furniture,-,
Storage,Home Organization,Trays + Catchalls,0,,Home,Decor,-,
Storage,Home Organization,Wall-Mounted Organization,,,Home,Organization,-,
Storage,Media Storage,-,101,,Home,Furniture,Storage,
Storage,Shelves + Bookcases,Bar Carts + Trolleys,0,,Home,Furniture,Storage,
Storage,Shelves + Bookcases,Coat Racks,0,,Home,Organization,-,
Storage,Shelves + Bookcases,Credenzas + Sideboards,0,,Home,Furniture,-,
Storage,Shelves + Bookcases,Entryway Storage + Organization,0,,Home,Organization,-,
Storage,Shelves + Bookcases,Freestanding Shelving + Storage,7,,Home,Furniture,Storage,
Storage,Shelves + Bookcases,Office + File Storage,0,,Home,Furniture,Storage,
Storage,Shelves + Bookcases,Office Shelving,0,,Home,Furniture,Storage,
Storage,Shelves + Bookcases,Wall-Mounted Shelving + Storage,7,,Home,Furniture,Storage,
Storage,Shelving Systems,Coat Racks,3,,Home,Organization,-,
Storage,Shelving Systems,Entryway Storage + Organization,10,,Home,Organization,-,
Storage,Shelving Systems,Freestanding Shelving + Storage,34,,Home,Furniture,Storage,
Storage,Shelving Systems,Office + File Storage,0,,Home,Furniture,Storage,
Storage,Shelving Systems,Office Shelving,33,,Home,Furniture,Storage,
Storage,Shelving Systems,Storage Accessories,2,,Home,Furniture,-,
Storage,Shelving Systems,Wall-Mounted Shelving + Storage,34,,Home,Furniture,-,
