src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,Unnamed: 9,Unnamed: 10,Unnamed: 11,combined
furniture,classroom furniture collections,natureinspired collection  bench,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Board Games,furniture classroom furniture collections natureinspired collection  bench
furniture,classroom furniture collections,natureinspired collection  border,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Book Bin,furniture classroom furniture collections natureinspired collection  border
furniture,classroom furniture collections,natureinspired collection  cabinet,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Book Display,furniture classroom furniture collections natureinspired collection  cabinet
furniture,classroom furniture collections,natureinspired collection  chair,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Book Set,furniture classroom furniture collections natureinspired collection  chair
furniture,classroom furniture collections,natureinspired collection  chalkboard,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Books,furniture classroom furniture collections natureinspired collection  chalkboard
furniture,classroom furniture collections,natureinspired collection  climberplay space,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Bowling Set,furniture classroom furniture collections natureinspired collection  climberplay space
furniture,classroom furniture collections,natureinspired collection  climber,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Branches,furniture classroom furniture collections natureinspired collection  climber
furniture,classroom furniture collections,natureinspired collection  cushions,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Bubbles,furniture classroom furniture collections natureinspired collection  cushions
furniture,classroom furniture collections,natureinspired collection  divider panel,6.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Buggy,furniture classroom furniture collections natureinspired collection  divider panel
furniture,classroom furniture collections,natureinspired collection  doll accessories,1.0,,toys,doll accessories,doll furniture,,Age/Grade,3 Years (Preschool),Building Blocks,furniture classroom furniture collections natureinspired collection  doll accessories
furniture,classroom furniture collections,natureinspired collection  educational carpets,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Building Blocks,Plush Toys",furniture classroom furniture collections natureinspired collection  educational carpets
furniture,classroom furniture collections,natureinspired collection  figures,2.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Building Blocks,Storage",furniture classroom furniture collections natureinspired collection  figures
furniture,classroom furniture collections,natureinspired collection  floor pillows,0.0,,home,furniture,,Cushions,Age/Grade,3 Years (Preschool),"Building Blocks,Storage,Table Top Blocks",furniture classroom furniture collections natureinspired collection  floor pillows
furniture,classroom furniture collections,natureinspired collection  folding rest mat,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Building Blocks,Table Top Blocks",furniture classroom furniture collections natureinspired collection  folding rest mat
furniture,classroom furniture collections,natureinspired collection  general use carpets,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Business Toys,Currency",furniture classroom furniture collections natureinspired collection  general use carpets
furniture,classroom furniture collections,natureinspired collection  locker,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Cabinet,furniture classroom furniture collections natureinspired collection  locker
furniture,classroom furniture collections,natureinspired collection  mats,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Card Games,furniture classroom furniture collections natureinspired collection  mats
furniture,classroom furniture collections,natureinspired collection  mirrors,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Chair,furniture classroom furniture collections natureinspired collection  mirrors
furniture,classroom furniture collections,natureinspired collection  no fold rest mat,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Chairs,furniture classroom furniture collections natureinspired collection  no fold rest mat
furniture,classroom furniture collections,natureinspired collection  panel accessories,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Chalk Board,furniture classroom furniture collections natureinspired collection  panel accessories
furniture,classroom furniture collections,natureinspired collection  partition,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Chalkboard,furniture classroom furniture collections natureinspired collection  partition
furniture,classroom furniture collections,natureinspired collection  pillows,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Chart,furniture classroom furniture collections natureinspired collection  pillows
furniture,classroom furniture collections,natureinspired collection  play center,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Clay,furniture classroom furniture collections natureinspired collection  play center
furniture,classroom furniture collections,natureinspired collection  play space pieces,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Climber,furniture classroom furniture collections natureinspired collection  play space pieces
furniture,classroom furniture collections,natureinspired collection  play space,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Climber,Play Space",furniture classroom furniture collections natureinspired collection  play space
furniture,classroom furniture collections,natureinspired collection  playtime carpets,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Climbing Wall,furniture classroom furniture collections natureinspired collection  playtime carpets
furniture,classroom furniture collections,natureinspired collection  posters,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Community Blocks,furniture classroom furniture collections natureinspired collection  posters
